ID,Stewed,Prune,Dried,Mixed,Apple,Banana,Berry,Cherry,Grapefruit,Grape,Mango,Melon,Orange,Satsuma,Peach_nectarine,Pear,Pineapple,Plum,Other,Bakedbean,Pulses,Mixedvegetable,Vegetablepieces,Coleslaw,Sidesalad,Avocado,Broadbean,Greenbean,Beetroot,Broccoli,Butternutsquash,Cabbage_kale,Carrot,Cauliflower,Celery,Courgette,Cucumber,Garlic,Leek,Lettuce,Mushroom,Onion,Parsnip,Pea,Sweetpepper,Spinach,Sprouts,Sweetcorn,Freshtomato,Tinnedtomato,Turnip_swede,Watercress,Othervegetables
1000054,,,,,,1,0.5,,,,,,1,,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000142,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
1000208,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,3,,,,,2,,,,,,,,,,2,,,2
1000259,,,,,1,1,,,,0.5,,,,,,,,,,0.5,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000267,,,,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,0.5,,,,,,,,,0.25,,,,,,,1,,,,0.5
1000389,,,,,,1,0.5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0.25,,,,,0.25,0.25,,,0.25,,,,0.25,,,,
1000485,,,,,2,2,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,0.5,,,,,,,0.5,,,,
1000530,,,,,,,,,,,0.5,,,,,3,,,,,,,,,0.5,,,,,,,,,,,,,,,,,0.25,,,,,,,0.5,0.25,,,
1000563,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
1000800,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,0.5,,0.5,,,1,,,,,,,,,2,,,,
1000946,,,3,,,1,,,,,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,0.25,,1,0.25,,,0.5,,,,,
1001055,,,0.5,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,2,1,0.25,,0.5,,0.25,,,,,,,,0.5,,,
1001066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,0.25,,0.5,,,1,0.5,0.5,,,0.25,,,,1,,,,
1001113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001189,,,,,1,1,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,
1001254,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001548,,,,,1,1,,,,,,,,,,,,,,,0.5,0.5,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,
1001744,,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001833,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0.25,,,,,
1001888,,,,,,1,,,0.5,,,,,,,,,,,,,,,,2,,,,,,1,,,,,1,,,,,,,,,0.25,,,,3,,,,0.25
1001936,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,0.25,,,0.5,,,,,0.5,,,
1002077,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,3,,,,
1002089,,,,,,1,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
1002247,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,
1002317,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,0.25,,0.25,,,,,,,,0.25,,0.25,,,,,,,,,,,
1002325,,,,,1,1,,,,,,,,1,1,,,,,,,,,,0.5,,,,,,,,,,,,,,,0.25,,,,,,,,,,0.5,,,
1002368,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
1002407,,,0.5,,,,,,,,,,,,,,,,,,0.5,0.25,0.25,,0.25,,,,,,,,,,,,0.5,0.25,,,,0.25,,0.25,,0.5,,,,,,,
1002433,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002460,,,0.5,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002661,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
1002900,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002962,,1,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,1,
1003033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003045,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,
1003103,,0.5,,,,,,,,,,1,,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,0.25,,1,,,,,,,,,,,,,
1003148,1,0.5,0.5,,,1,,,,,,,,,,,,,,,,,1,,,,,,,0.5,,,0.25,,,,,,,,,,0.25,,,,,,,0.25,,,
1003253,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,1,,,,,,,,,
1003314,,,,,1,,,,0.5,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
1003357,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,
1003404,,,,,,,2,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,1,,,,1,,,,,,,,2,,,
1003432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003509,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003564,,,,,1,1,,,,,,,,,,,,4,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003570,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,
1003666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003710,,,,,1,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003786,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,1,,,,,1,,,,,,,2,,,,,,,,,,,,0.25,
1003873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
1004291,,,,,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,
1004462,,,,,,1,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,1,1,,,,,,,,1,,,1,1,,,,
1004487,1,,,,1,1,,,,,,,,,1,1,,,,,,,,,,,1,1,,,1,,,,,0.5,,,,,,,,,,,,0.5,,,,,
1004663,,,,,2,2,,,,,,,,,,,,,,,0.25,,0.25,,,,0.25,,,0.25,,0.25,,,,0.25,,0.25,0.25,,0.25,,,0.25,,,,,0.25,,,,
1004861,,,,4,,,1,,,1,,1,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,
1005001,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
1005095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,0.5,,,,,,,,,
1005124,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,1,,,,
